year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2023;Jan;300;150;150;;;6;Fleet1
2023;Feb;300;150;150;;;6;Fleet1
2023;Mar;300;150;150;;;6;Fleet1
2023;Apr;300;150;150;;;6;Fleet1
2023;May;300;150;150;;;6;Fleet1
2023;Jun;300;150;150;;;6;Fleet1
2023;Jul;300;150;150;;;6;Fleet1
2023;Aug;300;150;150;;;6;Fleet1
2023;Set;300;150;150;;;6;Fleet1
2023;Oct;300;150;150;;;6;Fleet1
2023;Nov;300;150;150;;;6;Fleet1
2023;Dec;300;150;150;;;6;Fleet1
2024;Jan;300;150;150;;;6;Fleet1
2024;Feb;300;150;150;;;6;Fleet1
2024;Mar;300;150;150;;;6;Fleet1
2024;Apr;300;150;150;;;6;Fleet1
2024;May;300;150;150;;;6;Fleet1
2024;Jun;300;150;150;;;6;Fleet1
2024;Jul;300;150;150;;;6;Fleet1
2024;Aug;300;150;150;;;6;Fleet1
2024;Set;300;150;150;;;6;Fleet1
2024;Oct;300;150;150;;;6;Fleet1
2024;Nov;300;150;150;;;6;Fleet1
2024;Dec;300;150;150;;;6;Fleet1
2025;Jan;300;150;150;;;6;Fleet1
2025;Feb;300;150;150;;;6;Fleet1
2025;Mar;300;150;150;;;6;Fleet1
2025;Apr;300;150;150;;;6;Fleet1
2025;May;300;150;150;;;6;Fleet1
2025;Jun;300;150;150;;;6;Fleet1
2025;Jul;300;150;150;;;6;Fleet1
2025;Aug;300;150;150;;;6;Fleet1
2025;Set;300;150;150;;;6;Fleet1
2025;Oct;300;150;150;;;6;Fleet1
2025;Nov;300;150;150;;;6;Fleet1
2025;Dec;300;150;150;;;6;Fleet1
2026;Jan;300;150;150;;;6;Fleet1
2026;Feb;300;150;150;;;6;Fleet1
2026;Mar;300;150;150;;;6;Fleet1
2026;Apr;300;150;150;;;6;Fleet1
2026;May;300;150;150;;;6;Fleet1
2026;Jun;300;150;150;;;6;Fleet1
2026;Jul;300;150;150;;;6;Fleet1
2026;Aug;300;150;150;;;6;Fleet1
2026;Set;300;150;150;;;6;Fleet1
2026;Oct;300;150;150;;;6;Fleet1
2026;Nov;300;150;150;;;6;Fleet1
2026;Dec;300;150;150;;;6;Fleet1
2027;Jan;300;150;150;;;6;Fleet1
2027;Feb;300;150;150;;;6;Fleet1
2027;Mar;300;150;150;;;6;Fleet1
2027;Apr;300;150;150;;;6;Fleet1
2027;May;300;150;150;;;6;Fleet1
2027;Jun;300;150;150;;;6;Fleet1
2027;Jul;300;150;150;;;6;Fleet1
2027;Aug;300;150;150;;;6;Fleet1
2027;Set;300;150;150;;;6;Fleet1
2027;Oct;300;150;150;;;6;Fleet1
2027;Nov;300;150;150;;;6;Fleet1
2027;Dec;300;150;150;;;6;Fleet1
2028;Jan;300;150;150;;;6;Fleet1
2028;Feb;300;150;150;;;6;Fleet1
2028;Mar;300;150;150;;;6;Fleet1
2028;Apr;300;150;150;;;6;Fleet1
2028;May;300;150;150;;;6;Fleet1
2028;Jun;300;150;150;;;6;Fleet1
2028;Jul;300;150;150;;;6;Fleet1
2028;Aug;300;150;150;;;6;Fleet1
2028;Set;300;150;150;;;6;Fleet1
2028;Oct;300;150;150;;;6;Fleet1
2028;Nov;300;150;150;;;6;Fleet1
2028;Dec;300;150;150;;;6;Fleet1
2029;Jan;300;150;150;;;6;Fleet1
2029;Feb;300;150;150;;;6;Fleet1
2029;Mar;300;150;150;;;6;Fleet1
2029;Apr;300;150;150;;;6;Fleet1
2029;May;300;150;150;;;6;Fleet1
2029;Jun;300;150;150;;;6;Fleet1
2029;Jul;300;150;150;;;6;Fleet1
2029;Aug;300;150;150;;;6;Fleet1
2029;Set;300;150;150;;;6;Fleet1
2029;Oct;300;150;150;;;6;Fleet1
2029;Nov;300;150;150;;;6;Fleet1
2029;Dec;300;150;150;;;6;Fleet1
2030;Jan;300;150;150;;;6;Fleet1
2030;Feb;300;150;150;;;6;Fleet1
2030;Mar;300;150;150;;;6;Fleet1
2030;Apr;300;150;150;;;6;Fleet1
2030;May;300;150;150;;;6;Fleet1
2030;Jun;300;150;150;;;6;Fleet1
2030;Jul;300;150;150;;;6;Fleet1
2030;Aug;300;150;150;;;6;Fleet1
2030;Set;300;150;150;;;6;Fleet1
2030;Oct;300;150;150;;;6;Fleet1
2030;Nov;300;150;150;;;6;Fleet1
2030;Dec;300;150;150;;;6;Fleet1
2031;Jan;300;150;150;;;6;Fleet1
2031;Feb;300;150;150;;;6;Fleet1
2031;Mar;300;150;150;;;6;Fleet1
2031;Apr;300;150;150;;;6;Fleet1
2031;May;300;150;150;;;6;Fleet1
2031;Jun;300;150;150;;;6;Fleet1
2031;Jul;300;150;150;;;6;Fleet1
2031;Aug;300;150;150;;;6;Fleet1
2031;Set;300;150;150;;;6;Fleet1
2031;Oct;300;150;150;;;6;Fleet1
2031;Nov;300;150;150;;;6;Fleet1
2031;Dec;300;150;150;;;6;Fleet1
2032;Jan;300;150;150;;;6;Fleet1
2032;Feb;300;150;150;;;6;Fleet1
2032;Mar;300;150;150;;;6;Fleet1
2032;Apr;300;150;150;;;6;Fleet1
2032;May;300;150;150;;;6;Fleet1
2032;Jun;300;150;150;;;6;Fleet1
2032;Jul;300;150;150;;;6;Fleet1
2032;Aug;300;150;150;;;6;Fleet1
2032;Set;300;150;150;;;6;Fleet1
2032;Oct;300;150;150;;;6;Fleet1
2032;Nov;300;150;150;;;6;Fleet1
2032;Dec;300;150;150;;;6;Fleet1
2033;Jan;300;150;150;;;6;Fleet1
2033;Feb;300;150;150;;;6;Fleet1
2033;Mar;300;150;150;;;6;Fleet1
2033;Apr;300;150;150;;;6;Fleet1
2033;May;300;150;150;;;6;Fleet1
2033;Jun;300;150;150;;;6;Fleet1
2033;Jul;300;150;150;;;6;Fleet1
2033;Aug;300;150;150;;;6;Fleet1
2033;Set;300;150;150;;;6;Fleet1
2033;Oct;300;150;150;;;6;Fleet1
2033;Nov;300;150;150;;;6;Fleet1
2033;Dec;300;150;150;;;6;Fleet1
2034;Jan;300;150;150;;;6;Fleet1
2034;Feb;300;150;150;;;6;Fleet1
2034;Mar;300;150;150;;;6;Fleet1
2034;Apr;300;150;150;;;6;Fleet1
2034;May;300;150;150;;;6;Fleet1
2034;Jun;300;150;150;;;6;Fleet1
2034;Jul;300;150;150;;;6;Fleet1
2034;Aug;300;150;150;;;6;Fleet1
2034;Set;300;150;150;;;6;Fleet1
2034;Oct;300;150;150;;;6;Fleet1
2034;Nov;300;150;150;;;6;Fleet1
2034;Dec;300;150;150;;;6;Fleet1
2035;Jan;300;150;150;;;6;Fleet1
2035;Feb;300;150;150;;;6;Fleet1
2035;Mar;300;150;150;;;6;Fleet1
2035;Apr;300;150;150;;;6;Fleet1
2035;May;300;150;150;;;6;Fleet1
2035;Jun;300;150;150;;;6;Fleet1
2035;Jul;300;150;150;;;6;Fleet1
2035;Aug;300;150;150;;;6;Fleet1
2035;Set;300;150;150;;;6;Fleet1
2035;Oct;300;150;150;;;6;Fleet1
2035;Nov;300;150;150;;;6;Fleet1
2035;Dec;300;150;150;;;6;Fleet1
2036;Jan;300;150;150;;;6;Fleet1
2036;Feb;300;150;150;;;6;Fleet1
2036;Mar;300;150;150;;;6;Fleet1
2036;Apr;300;150;150;;;6;Fleet1
2036;May;300;150;150;;;6;Fleet1
2036;Jun;300;150;150;;;6;Fleet1
2036;Jul;300;150;150;;;6;Fleet1
2036;Aug;300;150;150;;;6;Fleet1
2036;Set;300;150;150;;;6;Fleet1
2036;Oct;300;150;150;;;6;Fleet1
2036;Nov;300;150;150;;;6;Fleet1
2036;Dec;300;150;150;;;6;Fleet1
2037;Jan;300;150;150;;;6;Fleet1
2037;Feb;300;150;150;;;6;Fleet1
2037;Mar;300;150;150;;;6;Fleet1
2037;Apr;300;150;150;;;6;Fleet1
2037;May;300;150;150;;;6;Fleet1
2037;Jun;300;150;150;;;6;Fleet1
2037;Jul;300;150;150;;;6;Fleet1
2037;Aug;300;150;150;;;6;Fleet1
2037;Set;300;150;150;;;6;Fleet1
2037;Oct;300;150;150;;;6;Fleet1
2037;Nov;300;150;150;;;6;Fleet1
2037;Dec;300;150;150;;;6;Fleet1
2038;Jan;300;150;150;;;6;Fleet1
2038;Feb;300;150;150;;;6;Fleet1
2038;Mar;300;150;150;;;6;Fleet1
2038;Apr;300;150;150;;;6;Fleet1
2038;May;300;150;150;;;6;Fleet1
2038;Jun;300;150;150;;;6;Fleet1
2038;Jul;300;150;150;;;6;Fleet1
2038;Aug;300;150;150;;;6;Fleet1
2038;Set;300;150;150;;;6;Fleet1
2038;Oct;300;150;150;;;6;Fleet1
2038;Nov;300;150;150;;;6;Fleet1
2038;Dec;300;150;150;;;6;Fleet1
2039;Jan;300;150;150;;;6;Fleet1
2039;Feb;300;150;150;;;6;Fleet1
2039;Mar;300;150;150;;;6;Fleet1
2039;Apr;300;150;150;;;6;Fleet1
2039;May;300;150;150;;;6;Fleet1
2039;Jun;300;150;150;;;6;Fleet1
2039;Jul;300;150;150;;;6;Fleet1
2039;Aug;300;150;150;;;6;Fleet1
2039;Set;300;150;150;;;6;Fleet1
2039;Oct;300;150;150;;;6;Fleet1
2039;Nov;300;150;150;;;6;Fleet1
2039;Dec;300;150;150;;;6;Fleet1
2040;Jan;300;150;150;;;6;Fleet1
2040;Feb;300;150;150;;;6;Fleet1
2040;Mar;300;150;150;;;6;Fleet1
2040;Apr;300;150;150;;;6;Fleet1
2040;May;300;150;150;;;6;Fleet1
2040;Jun;300;150;150;;;6;Fleet1
2040;Jul;300;150;150;;;6;Fleet1
2040;Aug;300;150;150;;;6;Fleet1
2040;Set;300;150;150;;;6;Fleet1
2040;Oct;300;150;150;;;6;Fleet1
2040;Nov;300;150;150;;;6;Fleet1
2040;Dec;300;150;150;;;6;Fleet1
2041;Jan;300;150;150;;;6;Fleet1
2041;Feb;300;150;150;;;6;Fleet1
2041;Mar;300;150;150;;;6;Fleet1
2041;Apr;300;150;150;;;6;Fleet1
2041;May;300;150;150;;;6;Fleet1
2041;Jun;300;150;150;;;6;Fleet1
2041;Jul;300;150;150;;;6;Fleet1
2041;Aug;300;150;150;;;6;Fleet1
2041;Set;300;150;150;;;6;Fleet1
2041;Oct;300;150;150;;;6;Fleet1
2041;Nov;300;150;150;;;6;Fleet1
2041;Dec;300;150;150;;;6;Fleet1
2042;Jan;300;150;150;;;6;Fleet1
2042;Feb;300;150;150;;;6;Fleet1
2042;Mar;300;150;150;;;6;Fleet1
2042;Apr;300;150;150;;;6;Fleet1
2042;May;300;150;150;;;6;Fleet1
2042;Jun;300;150;150;;;6;Fleet1
2042;Jul;300;150;150;;;6;Fleet1
2042;Aug;300;150;150;;;6;Fleet1
2042;Set;300;150;150;;;6;Fleet1
2042;Oct;300;150;150;;;6;Fleet1
2042;Nov;300;150;150;;;6;Fleet1
2042;Dec;300;150;150;;;6;Fleet1
2043;Jan;300;150;150;;;6;Fleet1
2043;Feb;300;150;150;;;6;Fleet1
2043;Mar;300;150;150;;;6;Fleet1
2043;Apr;300;150;150;;;6;Fleet1
2043;May;300;150;150;;;6;Fleet1
2043;Jun;300;150;150;;;6;Fleet1
