"Case_study";"Scenario";"ID_scenario";"Fleet_segment";"Stock";"Year";"Variable";"Value";"Unit";"Comments"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"ALL";"Bref";NA;"";"BF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"ALL";"SSBref";NA;"";"SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"SSB_exploited_pop";"3374.72960661271";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"Total_biomass_exploited_pop";"16079.1562864182";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"SSB_SSBref";NA;"";"SSB_SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"SSB_unexploited_pop";"22579.1469610137";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"Mean_length_of_exploited_pop";"169.57920257999";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"Z";"1.36900340947672";"year^-1";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"Mean_length_SS_of_exploited_pop";"383.996167565296";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"SPR";"0.149483814232863";"";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1998";"Critical_length_expl_pop";"221.284";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"SSB_exploited_pop";"2719.87090083783";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"Total_biomass_exploited_pop";"14550.3631803778";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"SSB_SSBref";NA;"";"SSB_SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"SSB_unexploited_pop";"22579.1463418985";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"Mean_length_of_exploited_pop";"171.077429779419";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"Z";"1.2565130146412";"year^-1";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"Mean_length_SS_of_exploited_pop";"381.631103084201";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"SPR";"0.120468016691194";"";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"1999";"Critical_length_expl_pop";"224.498";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"SSB_exploited_pop";"2486.45612628405";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"Total_biomass_exploited_pop";"14230.4025490639";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"SSB_SSBref";NA;"";"SSB_SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"SSB_unexploited_pop";"22578.4365725097";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"Mean_length_of_exploited_pop";"161.056678897469";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"Z";"1.30472318385643";"year^-1";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"Mean_length_SS_of_exploited_pop";"375.392679156301";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"SPR";"0.110130615659065";"";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2000";"Critical_length_expl_pop";"204.473";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"SSB_exploited_pop";"2256.62672312783";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"Total_biomass_exploited_pop";"15018.1975264129";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"SSB_SSBref";NA;"";"SSB_SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"SSB_unexploited_pop";"22470.9038685525";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"Mean_length_of_exploited_pop";"161.436941072083";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"Z";"1.31275821205896";"year^-1";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"Mean_length_SS_of_exploited_pop";"374.329475898283";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"SPR";"0.100417942150344";"";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2001";"Critical_length_expl_pop";"206.471";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"SSB_exploited_pop";"2279.84582167314";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"Total_biomass_exploited_pop";"16784.5198678547";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"SSB_SSBref";NA;"";"SSB_SSBF0.1"
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"SSB_unexploited_pop";"22238.5350323059";"tons";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"Mean_length_of_exploited_pop";"164.016690117178";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"Z";"1.16812770441329";"year^-1";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"Mean_length_SS_of_exploited_pop";"366.963624297093";"mm";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"SPR";"0.102484786848303";"";""
"SW_Task35";"Diagnosis";"";"ALL";"M.mer1718";"2002";"Critical_length_expl_pop";"229.702";"mm";""
