"Case_study";"Scenario";"ID_scenario";"Fleet_segment";"Species";"Year";"Variable";"Value";"Unit";"Comments"
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"VESSELS.annual";"1";"number";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"GT.average.annual";"1";"GT";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"GT.annual";"1";"GT";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"KW.average.annual";"1";"KW";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"KW.annual";"1";"KW";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"DAYS.average.annual";"12";"days";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"DAYS.annual";"12";"days";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"MAXDAYS.average.annual";"0";"days";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"GT.DAYS.annual";"12";"GT*days";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"KW.DAYS.annual";"12";"KW*days";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.landings";"0";"kg";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.discards";"0";"kg";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.revenues.landing";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.revenues.discard";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.revenues";"0.001";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"other.income";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.income";"0.001";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"variable.cost[tot.var.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"variable.cost[fuel.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"variable.cost[commercial.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"variable.cost[other.var.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fuel.price";"0";"€/l";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[tot.fix.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[maint.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[other.fix.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[ess.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[avoid.main.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"fixed.cost[unavoid.main.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"new.equipment.cost";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"labour.cost";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"capital.cost[tot.cap.cost]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"capital.cost[depreciation]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"capital.cost[interest]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"total.cost";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"gross.value.added";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"gross.cash.flow";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"profit";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"investment[number]";"0";"number";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"investment[value]";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"capital.value";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"taxes";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"net.profit";"0";"€";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"employment";"0";"number";""
"SW_Task35";"Diagnosis";"Diagnosis--";"Fleet1";"ALL";"1998";"average.wage";"1";"€";""
