"Case_study";"Scenario";"ID_scenario";"Fleet_segment";"Stock";"Year";"Variable";"Value";"Unit";"Comments"
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"ALL";"Fref";NA;"";"F0.1"
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"ALL";"Yref";NA;"";"YF0.1"
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"ALL";"Fupper";NA;"";"F0.1"
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"F";"0.721815909476724";"";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Catch";"8063.99541757237";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Landing";"8063.99541757237";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Mean_length_catch";"284.032506045477";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Mean_length_landing";"284.032506045477";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Mean_length_discard";NA;"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1998";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"Catch";"8063.99541757237";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"Landing";"8063.99541757237";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"F";"0.721815909476724";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"Exploitation_rate";"0.527";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1998";"F_Fref";NA;"";"F_F0.1"
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"F";"0.609325514641203";"";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Catch";"6246.9391735991";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Landing";"6246.9391735991";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Mean_length_catch";"279.071167210856";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Mean_length_landing";"279.071167210856";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Mean_length_discard";NA;"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"1999";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"Catch";"6246.9391735991";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"Landing";"6246.9391735991";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"F";"0.609325514641203";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"Exploitation_rate";"0.485";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"1999";"F_Fref";NA;"";"F_F0.1"
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"F";"0.657535683856426";"";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Catch";"6326.40847298672";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Landing";"6326.40847298672";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Mean_length_catch";"278.762263084848";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Mean_length_landing";"278.762263084848";"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Mean_length_discard";NA;"mm";""
"SW_Task35";"Diagnosis";"-";"Fleet1";"M.mer1718";"2000";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"Catch";"6326.40847298672";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"Discard";"0";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"Landing";"6326.40847298672";"tons";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"Discard_ratio";"0";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"F";"0.657535683856426";"";""
"SW_Task35";"Diagnosis";"-";"ALL";"M.mer1718";"2000";"Exploitation_rate";"0.504";"";""
